Number,Gene Name
1,COX14
2,SLC6A17
3,NNT
4,PLPP5
5,CLCNKB
6,LAT
7,COX7A1
8,TM9SF3
9,ATP2C2
10,TEK
11,GABRB2
12,MBTPS1
13,PTPRC
14,AWAT2
15,CD163L1
16,GPR17
17,OR8D2
18,CALY
19,OR2B11
20,TLR9
21,LIFR
22,OR2L3
23,LTBR
24,SIGLEC16
25,ITPR1
26,CD3D
27,OR2J3
28,MYADML2
29,ARV1
30,TMEM107
31,ST7
32,GJA3
33,SLC51A
34,OR8G5
35,OR52A1
36,SLC15A3
37,PLPPR1
38,CTLA4
39,ATPSCKMT
40,OR52J3
41,SLC5A10
42,CACNG5
43,POPDC2
44,LINC00301
45,TMPRSS6
46,TMEM151A
47,EDA
48,SYNDIG1L
49,CYP7A1
50,ENPP1
51,SLC13A2
52,SLC30A1
53,MRLN
54,OR9K2
55,MICU3
56,ADAM28
57,ABHD3
58,TMEM185B
59,SLC29A4
60,EDEM1
61,FAXC
62,OR6B3
63,PCDHGA5
64,EMC1
65,TMEM217
66,OR14A16
67,CNNM1
68,CLCN7
69,MMGT1
70,SLC39A1
71,NKG7
72,TMEM108
73,ATP6V0B
74,JAM2
75,SCD5
76,KCNQ3
77,LAX1
78,OR1S1
79,COX7C
80,TMEM131L
81,KCNJ9
82,DNAJC25
83,MINAR1
84,EGFR
85,TRAM2
86,HTR5A
87,OR5K1
88,HTR3A
89,HRCT1
90,BSG
91,FAM234B
92,FAIM2
93,ATL2
94,TAAR8
95,LRAT
96,DPAGT1
97,SMIM2
98,OR6M1
99,TMEM211
100,TMEM190
101,CLDN14
102,OTOP2
103,PANX1
104,MAMDC4
105,QSOX1
106,OR1S2
107,OR5B17
108,SLC22A7
109,SPACA3
110,LRRC37A3
111,IMMT
112,OCLN
113,TLCD1
114,CAMLG
115,PCDHB2
116,CDH5
117,MC4R
118,CMKLR2
119,ATP11C
120,YIPF1
121,SLC39A9
122,KIR2DS3
123,MFSD14B
124,UBAC2
125,ST6GALNAC1
126,ERGIC3
127,CASD1
128,VN1R3
129,GGT6
130,TMEM18
131,SLC37A1
132,TAS2R7
133,SLC7A3
134,CD274
135,OR10G8
136,ITGA8
137,FFAR1
138,LILRA2
139,CX3CL1
140,TNMD
141,SEMA4B
142,TMED2
143,AGTR2
144,OSBPL5
145,CD300LB
146,GPR135
147,DCHS2
148,LRRC3B
