Number,Gene Name
1,ACHE
2,ALPI
3,ALPL
4,ALPP
5,ALPG
6,ART3
7,ART4
8,BCAN
9,BST1
10,BST2
11,CA4
12,CD109
13,CD14
14,CD160
15,CD177
16,CD24
17,CD48
18,CD52
19,CD55
20,CD58
21,CD59
22,CDH13
23,CEACAM5
24,CEACAM6
25,CEACAM7
26,CEACAM8
27,CFC1
28,CNTFR
29,CNTN1
30,CNTN2
31,CNTN3
32,CNTN4
33,CNTN5
34,CNTN6
35,CPM
36,CPO
37,DPEP1
38,DPEP2
39,DPEP3
40,EFNA1
41,EFNA2
42,EFNA3
43,EFNA4
44,EFNA5
45,ENPP6
46,FCGR3B
47,FOLR1
48,FOLR2
49,GAS1
50,GFRA1
51,ACHE
52,ALPI
53,ALPL
54,ALPP
55,ALPG
56,ART3
57,ART4
58,BCAN
59,BST1
60,BST2
61,CA4
62,CD109
63,CD14
64,CD160
65,CD177
66,CD24
67,CD48
68,CD52
69,CD55
70,CD58
71,CD59
72,CDH13
73,CEACAM5
74,CEACAM6
75,CEACAM7
76,CEACAM8
77,CFC1
78,CNTFR
79,CNTN1
80,CNTN2
81,CNTN3
82,CNTN4
83,CNTN5
84,CNTN6
85,CPM
86,CPO
87,DPEP1
88,DPEP2
89,DPEP3
90,EFNA1
91,EFNA2
92,EFNA3
93,EFNA4
94,EFNA5
95,ENPP6
96,FCGR3B
97,FOLR1
98,FOLR2
99,GAS1
100,GFRA1
101,OMG
102,OTOA
103,ART1
104,PLAUR
105,PLET1
106,PRND
107,P04156
108,PRSS21
109,PRSS41
110,PSCA
111,RAET1G
112,RAET1L
113,RECK
114,RGMA
115,RGMB
116,RTN4R
117,RTN4RL1
118,RTN4RL2
119,SEMA7A
120,SMPDL3B
121,SPACA4
122,SPAM1
123,SPRN
124,TDGF1
125,TECTA
126,TECTB
127,TEX101
128,TFPI
129,THY1
130,TNFRSF10C
131,TREH
132,ULBP1
133,ULBP2
134,ULBP3
135,UMOD
136,VNN1
137,VNN2
138,VNN3
139,XPNPEP2
140,DNASE1L1
141,ISLR
142,IGSF21
143,CLCA4
144,CACNA2D4
145,CACNA2D3
146,CRTAC1
147,CSF3R
148,ENPP7
149,MPL
150,TREML4
151,LCTL
152,APCDD1
153,PRSS38
154,MOXD1
155,APCDD1L
156,PI16
157,CRLF2
158,PPP1R3F
159,MOK
160,SIRPG
161,HYAL4
162,MLEC
163,CHRNA10
164,TMEM256
165,UPK2
166,RHCG
167,PRSS36
168,IGLON5
169,VOPP1
170,MT-ND5
171,MYEOV
172,PRSS8
173,PRSS50
174,LMLN
175,OPCML
176,OVCH2
177,PRSS55
178,SNORC
179,VSTM2B
180,LRAT
181,RNASE11
182,C6orf120
183,CLN3
184,MT-ND2
185,MRPL43
186,SLC35A1
187,SLC2A8
188,SUSD1
189,ADAM23
190,LY6G6F
191,FRMD3
192,CSF2RA
193,TRBV5-5
194,TRBV5-6
195,SLC10A7
196,ICOSLG
197,NCAM2
198,TREM1
199,ACP4
200,CD1A
201,ZAN
202,C8orf82
203,SDR42E2
204,RBM12B
205,NEMP2
206,GK2
207,VTCN1
208,CLCC1
209,HRK
210,VWA7
211,TMEM72
212,IGHM
213,IL6ST
214,VAMP7
215,JPH4
216,MEPE
217,CCDC136
218,MFSD3
219,HPSE
220,RTP1
221,SNX13
222,SBSN
223,MUC1
224,PGAP1
225,SLC39A13
226,NAALADL1
227,CACNA2D1
228,C1orf54
229,CHRNA4
230,TCTN3
231,SLC39A7
232,GRM3
233,FLOT2
234,HLA-DQB2
235,CLCA1
236,SLC8A2
237,PRDM12
238,SERINC3
239,GLRB
240,BTN2A1
241,BTN3A1
242,WFIKKN1
243,VSTM4
244,SLC39A2
245,HTR3A
246,PPIC
247,PTCRA
248,UBAP2L
249,ENTPD2
250,SLC8A3
251,PSMG2
252,DMRTC1;
253,LCN12
254,C11orf87
255,LGMN
256,GK
257,NCR3LG1
258,TMEM201
259,RFLNA
260,TRIM16L
261,FMO1
262,DNAJC30
263,EGFL6
264,TDRD10
265,GRIK2
266,IDS
267,RNLS
268,TMEM222
269,BTNL2
270,RNF5
271,CTRC
272,DUSP15
273,ATP5MC1
274,CLCN6
275,EMC10
276,CD300LG
277,PKHD1L1
278,ATP6AP2
279,PLCH2
280,DYNLT3
281,GABRD
282,SOWAHA
283,IL11RA
284,PROSER1
285,TRBV9
286,TRBV5-1
287,TIGIT
288,TREX1
289,IL15RA
290,CCDC9B
291,ARMC5
292,SLC25A47
293,TMEM147
294,FBLN1
295,NPTN
296,VCAM1
297,VKORC1
298,CYB5D2
299,TPP1
300,RAC3
301,PSG8
302,MST1
303,CCDC168
304,KLK11
305,CDHR5
306,TCHHL1
307,DEFB128
308,ST3GAL3
309,EFEMP1
310,C2CD4A
311,PAPPA2
312,FMO3
313,CD1C
314,SMIM9
315,MIER1
316,XPO5
317,CD164L2
318,EPHX2
319,TMEM165
320,C21orf62
321,HLA-DOA
322,MFSD12
323,TRAV10
324,CASP2
325,PPARG
326,COL25A1
327,SLC8B1
328,PTX4
329,PTGES
330,PRSS54
331,STRC
332,STRN4
333,SUCO
334,SUV39H2
335,FPGS
336,RETNLB
337,ARHGAP9
338,SCPEP1
339,MT-ND4
340,BCL2L13
341,TMEM161A
342,NDUFA10
343,TMEM161B
344,TBX10
345,TAS2R13
346,TAS2R5
347,NDUFS2
348,NAXD
349,SEL1L2
350,RYK
351,SLC20A1
352,SEC24B
353,SIRPB1
354,SCGB3A1
355,SFTA2
356,SERPINA12
357,SLURP2
358,SIRPD
359,SNTA1
360,SNTB2
361,SERPINA11
362,SRPRA
363,IFI27
364,SMIM7
365,SNTB1
366,SORL1
367,TRABD2B
368,TMEM102
369,TMEM182
370,LTA
371,TIMP1
372,TNFRSF1A
373,TMUB1
374,KRT10-AS1
375,TMPRSS12
376,TRABD2A
377,TMEM101
378,TMEM158
379,TMEM203
380,TMEM250
381,TMEM81
382,TNFRSF12A
383,ATP5MC2
384,SLC38A11
385,SLC39A3
386,SLC35A4
387,SLC39A8
388,SLC39A11
389,SLC39A14
390,SCUBE3
391,SLC20A2
392,SLC39A5
393,SPACA6
394,ERFE
