Number,Gene Name
1,LYSMD4
2,ZDHHC14
3,OR11H4
4,NRG1
5,OXGR1
6,C19orf18
7,SLC9A6
8,TSPAN31
9,SLC35D2
10,SMIM7
11,APLP2
12,DRD3
13,UPK2
14,HFE
15,FADS2
16,TSPAN14
17,SIDT2
18,PEX13
19,OXER1
20,TAS2R5
21,PAPPA-AS1
22,ABCD1
23,CTXN2
24,SYT6
25,YME1L1
26,AUP1
27,STX8
28,LFNG
29,ATP6AP1L
30,MBOAT2
31,ERVFC1
32,SLC2A3
33,LRRC26
34,SPPL2B
35,OR1A1
36,HSD17B2
37,NLGN2
38,TIMM23
39,OR13H1
40,TMPRSS11E
41,TRA
42,TMEM47
43,CLEC7A
44,GPR182
45,ADGRF3
46,MTLN
47,OR5AR1
48,TGFBR1
49,HS3ST3B1
50,HTRA2
51,OR8A1
52,OR10G4
53,MUC4
54,ADAM7
55,UNC93B1
56,ATP10A
57,PIP4P1
58,FAM234B
59,SLC34A3
60,SLCO2A1
61,CDH19
62,OR10A6
63,SYNGR2
64,OR2A2
65,TMBIM4
66,CANX
67,JAM2
68,SLC12A1
69,SLC29A3
70,SLC9B1P1
71,EPHA3
72,B3GALNT1
73,NKAIN4
74,FAM174B
75,C16orf54
76,GABRD
77,PTPRG
78,TAFAZZIN
79,P2RY4
80,ACVR1
81,CBARP
82,NSG2
83,TAAR5
84,PKD2L2
85,CALHM6
86,GALNT11
87,VSTM5
88,CSMD2
89,VIPR2
90,CERS2
91,ITGA2
92,GPR180
93,NOTCH1
94,NRXN1
95,IL20RB
96,SMIM35
97,UNC79
98,SLC25A23
99,CHRM1
100,MCHR1
101,OR1J1
102,VIPR1
103,KCNE3
104,CD300A
105,ZDHHC21
106,IER3
107,GPR26
108,KREMEN1
109,CD300H
110,FCGR1A
111,NECTIN4
112,FRMD3
113,P61570
114,GPRC5C
115,KCNK4
116,DRD4
117,MTX1
118,THBD
119,SLC5A6
120,F11R
121,OR13G1
122,JPH3
123,CD99
124,UPK1B
125,DYSF
126,SLC38A8
127,PLD5
128,TMEM167A
129,RTN4
130,TMED1
131,OR2A5
132,CHSY3
133,SLC39A6
134,L1CAM
135,TMEM116
136,VTI1B
137,SLC4A8
138,GRINA
139,RNF215
140,NDUFC1
141,MRGPRX3
142,KDR
143,CLEC6A
144,RUSF1
145,KCNG2
146,ADAM9
147,ADGRE1
148,CHST7
149,CXCR4
150,OR2C3
151,UPK3BL1
152,SCD5
153,ITGB1
154,SPG7
155,ITGB2
156,ADAM33
157,DENND5B
158,SPPL3
159,MTFP1
160,SLC1A7
161,OR6C65
162,IRAG2
163,MMD2
164,SEC11A
165,PLXDC2
166,MGAT1
167,STX5
168,KCNJ13
169,STRIT1
170,ACE2
171,OR2T10
