Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
1,STMN2,0.0069910956385423,False
2,GAP43,0.0057159132481316,False
3,TUBB2B,0.0042425551659137,False
4,MEF2C,0.0039071631271472,False
5,UCHL1,0.0038894801721348,False
6,MAP1B,0.0038130715350621,False
7,STMN4,0.0035457205311564,False
8,RTN1,0.0033452463704394,True
9,MLLT11,0.0031405257995764,False
10,STMN1,0.0030975557159202,False
11,NNAT,0.0029071477894213,False
12,HS3ST4,0.0028580825387121,True
13,TUBB2A,0.0028090449840411,False
14,TUBB,0.0027589150657199,False
15,MARCKS,0.0027260589625643,False
16,NCAM1,0.0025491142241652,True
17,ARPP21,0.0024980691705626,False
18,SYT1,0.0023836897872653,True
19,CD24,0.0023499035061165,False
20,NRXN1,0.0023448588574396,True
21,DOK5,0.002317939177436,False
22,DCX,0.0023068034269179,False
23,FRMD4A,0.0022839432110011,False
24,CRMP1,0.0022589495066716,False
25,SYNDIG1,0.0022065467930019,True
26,GPM6A,0.0021955098345781,True
27,DOCK4,0.0021615141453485,False
28,LY6H,0.002156858091349,False
29,SPP1,0.0021252106736673,False
30,SLC1A3,0.0021179696411568,True
31,FABP7,0.002111945585916,False
32,NSG1,0.002094373136508,True
33,DDAH2,0.0020696583280199,False
34,SOX11,0.0020474793330436,False
35,P2RY12,0.0020258237922875,True
36,BEX1,0.0020130225652718,False
38,PLXDC2,0.0018909216344719,True
39,CSRP2,0.0018742777705291,False
40,PCSK1N,0.0018430751295532,False
41,MAPT,0.0018109587803291,False
42,INA,0.0017966317175273,False
43,ST6GALNAC3,0.0017580337243431,True
44,TUBA1A,0.001755450614324,False
45,ELAVL3,0.0016489063753297,False
46,RUNX1T1,0.0016483871143043,False
47,BASP1,0.0016323154487576,False
48,CKB,0.0016312293419323,False
49,NEFM,0.0016239736172049,False
50,NREP,0.0016085953166509,False
51,KCNQ3,0.0016074112438487,True
52,NEUROD6,0.0015989570765927,False
53,SATB2,0.0015973261009592,False
54,ARHGAP22,0.0015789984130409,False
55,MYT1L,0.0015512951529271,False
56,NAV3,0.0015259757227598,False
57,EPB41L2,0.0015049149834552,False
58,SYT4,0.0014846251849867,True
59,PAFAH1B3,0.0014195011323143,False
60,TAGLN3,0.0014176475016697,False
61,SNCA,0.0014138254225978,False
62,CXADR,0.0014097140223071,True
63,DPYSL3,0.0014050984190211,False
64,SCN3B,0.0013622801134825,True
65,ZBTB18,0.0013513196436875,False
66,ARHGAP24,0.0013488083716079,False
67,SOX4,0.0013320403586305,False
68,RPRM,0.0013097656567872,True
69,RASGEF1C,0.001301570425152,False
70,NELL2,0.0012950247185197,False
71,DPYSL2,0.0012853199420928,False
72,CSF1R,0.0012782368585245,True
73,SNAP25,0.0012688974014003,False
74,CHL1,0.0012653542992056,True
75,TCF4,0.0012605789333535,False
76,ZEB2,0.0012597511010259,False
77,MARCKSL1,0.0012588889672049,False
78,SLC8A1,0.0012401122837968,True
79,SH3RF3,0.0012343223340033,False
