Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
1,PLP1,0.014027998422532,True
2,PCDH9,0.0091833636907892,True
3,CADM2,0.0082412662823382,True
4,NCAM2,0.0080417742397273,True
5,FRMD5,0.0077658524660231,True
6,IL1RAPL1,0.0077263866324322,True
7,ZNF536,0.0072770929701925,False
8,SLC24A2,0.0071910518490745,True
9,ST18,0.0071661639736953,False
10,CTNNA3,0.0061487477155678,False
11,PDE1C,0.0059976055215793,False
12,PPP2R2B,0.0059303372787442,False
13,MOBP,0.005857682944285,False
14,C10orf90,0.0057868348322835,False
15,S100B,0.0051367411591735,False
16,KCNH8,0.0050558555134999,True
17,NCAM1,0.0050518342763532,True
18,RNF220,0.0049824375588491,False
19,TMEM144,0.0046805175312495,True
20,GPM6B,0.0045093986800466,True
21,NRXN3,0.0044613712816695,True
22,KIRREL3,0.0044519526685302,True
23,DNM3,0.0044434569002101,False
24,NKAIN2,0.0043001063487572,True
25,DNAJC6,0.0042523423312643,False
26,TMEFF2,0.0041757348650256,True
28,QKI,0.0041266591918962,False
29,PIP4K2A,0.0041178058677736,False
30,PEX5L,0.0040271718134009,False
31,UGT8,0.0038596042157784,True
32,SPOCK3,0.003778182702159,False
33,DLG2,0.0036797263905243,False
34,EDIL3,0.0036313088616769,False
35,TF,0.0036072422280786,False
36,CDH20,0.0034926683631387,True
37,ANO4,0.0033914379946168,True
38,NTM,0.0033837872673654,False
39,KLHL32,0.0033642753775914,False
40,BCAS1,0.0033622840832724,False
41,ZEB2,0.0033073759430183,False
42,PDE4B,0.0032843826617316,False
43,TTLL7,0.0032438652270434,False
44,DOCK10,0.0031844716352202,False
45,SLC44A1,0.0031709569692694,True
46,GRM3,0.0031474397125088,True
47,HHIP,0.003137056135756,False
48,ATP8A1,0.0031269023294004,True
49,SH3GL3,0.003124009913403,False
50,MBP,0.0030537754620882,False
51,AMER2,0.0029691680896467,False
52,PRUNE2,0.0029308126502426,False
54,AK5,0.0028927704673736,False
55,NPAS3,0.0028808531932435,False
56,SPOCK1,0.0028192115132656,False
57,MAP7,0.0027953062476243,False
58,MOG,0.0027893447778519,True
59,MEGF10,0.0027883256252232,True
60,OLIG1,0.0027521216820526,False
61,PTPRD,0.0027319146400192,True
62,ANK2,0.0026869022351685,False
63,PHLPP1,0.002682310245697,False
64,PLLP,0.0026808942696173,True
65,AATK,0.002650287369404,True
66,DOCK5,0.0026353705077355,False
67,ABCA8,0.0026279309337227,True
68,LPAR1,0.0025830470837937,True
69,SLCO1A2,0.0025803170551921,True
70,MARCH1,0.002568579217918,True
71,NCKAP5,0.0024764923328363,False
72,CNTN2,0.002428351286744,False
73,SLAIN1,0.0024278002355832,False
75,PLEKHH1,0.0023901690496563,False
76,ENOX1,0.0023589226749437,False
77,GLDN,0.0023535978979576,True
78,KCNMB4,0.0023522003593338,True
79,ELMO1,0.0023469226255507,False
80,AKAP6,0.0023356004947104,False
81,COBL,0.0023197355659328,False
82,APLP1,0.0022786167937715,True
83,ST6GALNAC3,0.0022665355894416,True
84,CLASP2,0.0022434168731354,False
85,CNDP1,0.0022426741511143,False
86,NLGN1,0.0022242967933108,True
87,TCF12,0.0022178539472153,False
88,CDH19,0.0022027918160549,True
89,RAPGEF5,0.0021503661838595,False
90,QDPR,0.002149307988701,False
91,RFTN2,0.002144202330238,False
92,ARAP2,0.0021173547337693,False
93,ATP10B,0.0021045233392815,True
94,MYRF,0.0020951527641566,True
95,APOD,0.002073350944989,False
96,SCD5,0.0020592226361447,True
97,CTNND2,0.0020339919089904,False
98,ALCAM,0.0020255764889432,True
99,UNC5C,0.0019943178516309,True
100,NKX6-2,0.0019876759571059,False
101,LRRC4C,0.0019782886893558,True
102,PHACTR3,0.0019652686300509,False
103,OPALIN,0.0019517465771366,True
104,PHYHIPL,0.0019297059380805,False
105,ENPP2,0.00191523892851,False
106,ABCA2,0.0019001590594295,True
107,ANKS1B,0.0018995791045397,False
108,ADGRB3,0.0018915922432558,True
109,TMTC2,0.0018757415670469,True
110,FA2H,0.0018702890587696,True
111,PCSK6,0.00186808012198,False
112,SRCIN1,0.0018569881286423,False
113,GAB1,0.0018488266381353,False
114,NRXN1,0.0018386878323744,True
115,CNTNAP2,0.001832795175039,True
