Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
1,SLC1A3,0.0093389411245247,True
2,SLC1A2,0.0087548986421145,True
3,CTNNA2,0.0063504005971928,False
4,GFAP,0.0058038114416203,False
5,NPAS3,0.0056647046210841,False
6,AQP4,0.0055264881897686,True
7,GPC5,0.0054230932780808,False
8,NRXN1,0.0052004832800227,True
9,DPP10,0.005130445007631,True
10,CDH20,0.0050239953365521,True
11,RFX4,0.0049681204952579,False
12,NTRK2,0.0048272034733438,True
13,ATP1A2,0.0047293704541826,True
14,HPSE2,0.0045804835111487,False
15,CTNND2,0.0044830171050764,False
16,NKAIN3,0.004369278423404,True
17,GABRB1,0.0043392033040949,True
18,DTNA,0.0042297603890586,False
19,LSAMP,0.0042251792967385,False
20,NRG3,0.0041012267124326,True
21,RYR3,0.0039877091216783,True
22,PCDH9,0.0039707492990573,True
23,NTM,0.0039285877984782,False
25,ADGRV1,0.0038031852231662,True
26,SPARCL1,0.0036763373265606,False
27,MGAT4C,0.0035728838175354,True
28,GPM6A,0.0035047148195699,True
29,CACNB2,0.0034841225256883,False
30,ADCY2,0.0034661732836589,True
31,PRKG1,0.0034452346145185,False
32,LRP1B,0.0033913725474242,True
33,PTPRZ1,0.0032705577729014,True
34,FMN2,0.0032476613517142,False
35,CADM2,0.0032282500308041,True
36,NTRK3,0.0030656609574169,True
37,SORBS1,0.0030525541308941,False
38,RANBP3L,0.0030436351523277,False
39,SLCO1C1,0.0029772601257486,True
40,CLU,0.0029445786593656,False
41,MT3,0.0029414801461084,False
42,DCLK2,0.0029300487269181,False
43,FAT3,0.0028545909550021,True
44,PPP2R2B,0.0028274265289568,False
45,NAV3,0.0028190275600552,False
46,ADGRB3,0.0027992172249441,True
47,FUT9,0.0027964594994735,True
48,FBXL7,0.0027695517850626,False
49,ARHGEF4,0.0027425624589333,False
50,NCAM2,0.0027386255507075,True
51,TENM2,0.0026710470978056,True
52,PITPNC1,0.0026426536391845,False
53,GPM6B,0.0026351423009507,True
54,TNIK,0.0025956962793002,False
55,PREX2,0.0025919287311853,False
56,TRPM3,0.0025867572901441,True
57,PAMR1,0.002565976421285,False
58,CADM1,0.0025520711832884,True
59,FAM189A2,0.0025430080622557,True
60,SLC4A4,0.0025253388102109,True
61,ETNPPL,0.0024947121431506,False
62,C1orf61,0.0024349404898226,False
63,KCNN3,0.0024199983709446,True
64,ATP1B2,0.0024067954636624,True
65,LRRC3B,0.0023981842811774,True
66,QKI,0.0023632295804574,False
67,SLC25A18,0.0023165393729081,True
68,ERBB4,0.0022590843613929,True
69,NCAM1,0.0022562099457422,True
70,CABLES1,0.0022390838541761,False
71,TRPS1,0.0022273462800719,False
72,ANK2,0.0022179350959579,False
73,MAPK4,0.0022136758241318,False
74,S100B,0.0021972932712132,False
75,ADGRL3,0.0021766515065706,True
76,LRIG1,0.0021675354513602,True
78,FAM155A,0.0021606088126261,True
79,MSI2,0.0021517981869232,False
80,SOX5,0.0021472176979771,False
81,RGS20,0.0021351388825128,False
82,GRM3,0.0021205660335749,True
83,BMPR1B,0.0021034921129072,True
84,TTYH1,0.002099918358166,True
85,MAPK10,0.0020490751953094,False
87,NRCAM,0.0020150965813953,True
88,DAAM2,0.0019753172843059,False
89,DST,0.0019752955565892,False
90,DOCK4,0.0019507103578027,False
91,GJA1,0.0019478302492767,True
92,SFXN5,0.0019443064316226,True
93,NCAN,0.0019381899796491,False
94,GLIS3,0.0019363809083125,False
95,HEPACAM,0.0019301373294077,True
96,MAGI2,0.0019206851650741,False
97,LRRC4C,0.0019136319121955,True
98,ZNRF3,0.0018849229805929,True
99,CNTN1,0.0018831417753285,False
100,NFIA,0.00185779898667,False
101,GLI3,0.0018514203214927,False
102,APOE,0.0018507411458085,False
103,MED12L,0.0018439804904554,False
105,SGCD,0.0018353824529918,True
106,SLC35F1,0.0018214220052101,True
107,TNC,0.0018150708698377,False
108,PDE4B,0.0018077355979701,False
109,ACSBG1,0.0017837170857218,False
110,PSD2,0.0017640854401602,True
111,PRDM16,0.0017608389079666,False
112,SLC7A11,0.0017581523931746,True
113,SLC6A11,0.0017552784555474,True
