Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
1,NRXN1,0.009655211099983,True
2,NRXN3,0.0095461243419903,True
3,GRIK2,0.0076446435424075,True
4,CADM2,0.0065877367672718,True
5,GRIN2B,0.0065723988358597,True
6,RBFOX1,0.0063864569140179,False
7,ADGRB3,0.0062567573108856,True
8,XKR4,0.0061909476187181,True
9,KIRREL3,0.0059880672263238,True
10,GABRB2,0.005822773410821,True
11,FRMPD4,0.0056161767584611,False
12,CNTNAP2,0.0055804824476266,True
13,SYT1,0.0055509915889778,True
14,RALYL,0.0053709316673985,False
15,NCAM1,0.005046569737469,True
16,DAB1,0.0049580331021728,False
18,ST6GALNAC5,0.0047431212165239,True
19,MYT1L,0.0043234354827663,False
20,SNAP25,0.0042753990151085,False
21,NEGR1,0.0042412115159285,False
22,OPCML,0.0041876821000349,False
23,GABRG3,0.0041647340597815,True
24,CHRM3,0.0041628608800609,True
25,TENM2,0.0040580600970948,True
26,RYR2,0.0039785823600021,True
27,SNTG1,0.0039689005752721,False
28,ARPP21,0.0038448486456111,False
29,PCLO,0.0038387098136318,False
30,OLFM3,0.0037907273984186,False
31,FGF12,0.0037205033242992,False
32,CNTN5,0.0036070013868576,False
33,RGS7,0.0035801967018048,False
34,KCNC2,0.0035747317115117,True
35,ANKS1B,0.0035521885549392,False
36,CACNA1C,0.0035452381836392,True
37,IL1RAPL1,0.0035372026799035,True
38,SLC4A10,0.0035197003726579,True
39,MGAT4C,0.0035101272687108,True
40,NKAIN2,0.0034823275651174,True
41,KCNJ3,0.0034332786718902,True
42,GRIA1,0.0034263811964594,True
43,PCDH9,0.0034162639670492,True
44,ANK2,0.0033654384978921,False
45,LRRTM4,0.0033398280654451,True
46,CSMD1,0.003339783748995,True
47,SHISA9,0.003332898842109,True
48,NCAM2,0.0033186712392005,True
49,SGCZ,0.0032830814804469,True
50,CSMD3,0.0032541940806263,True
51,SCN2A,0.0032298169402766,True
52,CDH18,0.0032058577170706,True
53,FAM155A,0.0031981926757618,True
54,DLG2,0.003192524043992,False
55,ZNF385D,0.0031740198434257,False
56,EPHA6,0.0031622440799025,True
57,CELF4,0.0031389030368598,False
58,STMN2,0.0031321555536582,False
59,NELL2,0.003109621267986,False
60,ZNF804A,0.0030861772057053,False
61,GRIN2A,0.0030382566945208,True
62,CADPS,0.0030021888882866,False
63,LRRC4C,0.0029767116413382,True
64,GRIA4,0.0029546428364564,True
65,KCNIP4,0.0029518099430641,False
66,RTN1,0.0029050117316502,True
67,PHACTR1,0.0029046424976024,False
68,LSAMP,0.0028884187045709,False
69,FRMD4A,0.0028863337007292,False
70,DCLK1,0.002848217427973,False
71,MAP1B,0.0028357418360094,False
72,NLGN1,0.0028094636685947,True
73,SLC35F1,0.0027732485195522,True
74,NTM,0.0027534149679671,False
75,MTUS2,0.0027362239231165,False
76,GAP43,0.0027169375674441,False
77,RAB3C,0.0026759125623862,False
78,KAZN,0.002661211708891,False
80,MEF2C,0.0026529318690706,False
81,NTRK3,0.0026444946201191,True
82,PCSK2,0.0026114615008325,False
83,RAPGEF4,0.0026081463056439,False
84,GRIA2,0.0025983082771845,True
85,TMEM132B,0.0025952561091439,True
86,GRIN1,0.0025952280255733,True
87,CCSER1,0.0025373126047429,False
88,PDE10A,0.002531257937042,False
89,PLCB1,0.002527969668362,False
90,ROBO2,0.0025191875538374,True
91,LDB2,0.0025187722008933,False
92,UCHL1,0.0025167405630502,False
93,CTNND2,0.0025150550855483,False
94,CHL1,0.002487235311485,True
95,CACNA1A,0.0024758511885385,True
96,DSCAM,0.0024504476406278,True
97,HS6ST3,0.0024465792521628,True
98,AFF3,0.0024459236392672,False
99,CTNNA2,0.0024357913805743,False
100,SYN2,0.0024318416752735,False
101,DLGAP2,0.0024220884409035,False
102,GABBR2,0.00240423473145,True
103,RUNX1T1,0.0023972377348941,False
104,ZNF536,0.0023960395151403,False
105,LRFN5,0.0023869240421932,True
106,KCND2,0.0023280113917671,True
107,SCN3B,0.0023261204871664,True
108,SLC35F3,0.002325514734636,True
109,CAMK2B,0.0023240937526208,False
110,UNC5D,0.002309250499706,True
111,NAV3,0.0023070007840137,False
112,KCNH7,0.0022966434813028,True
113,SLC8A1,0.002294657892709,True
114,FGF14,0.0022783141233639,False
115,DPP10,0.0022686439912992,True
116,ERC2,0.0022686306831582,False
117,UNC13C,0.0022362135489656,False
118,CADPS2,0.0021912561071884,False
119,GABRG2,0.0021797071481159,True
120,GPR158,0.0021696142798412,True
121,LRRC7,0.0021623205079962,False
122,MDGA2,0.0021554105271865,False
123,RIMS2,0.0021396891028878,False
124,NRG3,0.0021345366139887,True
125,PPP2R2B,0.0021201710217564,False
126,PTPRD,0.0020949869546267,True
127,NRGN,0.0020883279189188,False
128,LIMCH1,0.0020715149643087,False
129,LINGO2,0.0020616949333022,True
130,GPM6A,0.0020577467306527,True
131,SYNPR,0.0020438877098088,True
132,GABRA2,0.0020427584926318,True
133,GRID2,0.0020307093424653,True
134,ADGRL3,0.0020273526933908,True
135,PDE1A,0.0020221256588873,False
136,RIMBP2,0.0020132156128115,False
137,PRKCB,0.0020005769488154,False
138,MCTP1,0.0019975748832301,True
139,GRIP1,0.0019937886188878,False
140,ANK3,0.0019824814139669,False
141,SNCA,0.0019626487126588,False
142,PRKG1,0.0019525689392955,False
143,SPOCK1,0.0019520125135369,False
144,KCNQ5,0.0019418052859226,True
145,TMEFF2,0.0019408616990131,True
146,STXBP5L,0.0019325100059362,False
147,ASTN2,0.0019053907681303,True
148,ZFPM2,0.0019008420735088,False
149,ERBB4,0.0019007492108312,True
150,TRPM3,0.0018943571168733,True
151,LY6H,0.0018941811707891,False
152,FAT3,0.0018819913218537,True
153,CHD5,0.0018747035212121,True
154,RBFOX3,0.0018659599855645,False
155,RIMS1,0.0018650144437063,False
156,KCTD16,0.0018502840943676,False
157,GABRB1,0.0018482040478351,True
158,LRP1B,0.0018398879345044,True
159,SCN1A,0.0018387417499444,True
160,KIF5C,0.0018359009331433,False
161,DGKI,0.0018350051215525,False
162,NECAB1,0.0018266538556886,False
163,TANC2,0.0018200787444609,False
164,DNM3,0.0018186954800245,False
165,ANKRD30BL,0.0018161836627584,False
166,CNTN4,0.0018137121336993,False
167,ATP1B1,0.0018062700233228,True
168,DLGAP1,0.0018027119367576,False
170,NRCAM,0.0017910296004481,True
171,MAGI2,0.0017793055158563,False
172,SATB2,0.0017761325672901,False
173,CACNA1B,0.0017734461570435,True
174,FRMD5,0.0017666792289392,True
175,KSR2,0.0017531840843449,False
176,AK5,0.0017518042956378,False
177,CSRNP3,0.0017170689141123,False
179,GRM5,0.0017162332693063,True
180,KCNJ6,0.0017151349755393,True
181,GABRB3,0.0017014540697027,True
182,AHI1,0.0016970729720844,False
183,CACNA2D3,0.0016938796999124,True
184,DCC,0.0016880814691219,True
185,SH3GL2,0.001674107530485,False
186,TCF4,0.0016727608643011,False
187,CACNB2,0.0016695681042204,False
188,VSNL1,0.0016685254378797,False
189,SRRM4,0.0016654250907853,False
190,FLRT2,0.0016613878557779,True
191,TNR,0.001655650607265,False
192,CNTN1,0.0016540271324933,False
193,GUCY1A2,0.0016504783432649,False
194,LRRTM3,0.0016489831776665,True
196,CDH12,0.0016450170831087,True
197,R3HDM1,0.0016328583471684,False
198,DPP6,0.0016224259581738,True
199,CACNG3,0.001619024512276,True
200,SH3GL3,0.0016130601750616,False
201,MAP2,0.001609996056471,False
202,SLC44A5,0.0016095013088371,True
203,ATRNL1,0.0016091620483085,True
204,CALY,0.001608106225648,True
205,CDH8,0.0016006712257542,True
206,GRM1,0.0016001381597649,True
207,DTNA,0.0015933511712615,False
208,ENOX1,0.0015876562718197,False
209,PTPRR,0.0015801298018719,True
210,NBEA,0.0015792175202186,False
211,EFNA5,0.0015704247997611,False
212,SYT14,0.0015690435214245,True
213,CNTNAP5,0.0015659834320036,True
214,TMEM132D,0.001561338630133,True
215,GALNTL6,0.0015607396575539,True
216,UNC5C,0.0015572864914801,True
218,NXPH1,0.001551676145203,False
219,ATP2B2,0.0015410721416818,True
220,PCDH7,0.0015410676891646,True
221,RAPGEF5,0.001532564470231,False
222,CHN1,0.0015295741036736,False
223,ELAVL4,0.0015233498156734,False
224,TMEM59L,0.0015110337619979,True
225,PTPRO,0.0015064616373084,True
226,NTRK2,0.0014965846496356,True
227,SORCS1,0.001495567267437,True
228,JPH4,0.0014940874475531,True
229,TNIK,0.0014922763927513,False
230,DGKB,0.0014903910342793,False
231,PAK5,0.001490369022567,False
232,CA10,0.0014889790807093,False
233,SLC24A2,0.0014887671643023,True
234,NMNAT2,0.0014776897980307,False
235,DYNC1I1,0.0014765947467925,False
236,MAGI1,0.0014752491627795,False
237,PCSK1N,0.0014721102272806,False
238,GAD2,0.001465904001311,False
239,RGS6,0.0014644570281973,False
240,KIAA1217,0.0014563142126258,False
241,SYBU,0.0014558453752912,True
242,SEZ6L,0.0014552168422047,True
243,NEBL,0.0014525645464237,False
244,FHIT,0.0014444552574831,False
245,UNC79,0.0014390672751143,True
246,KHDRBS2,0.0014384710013455,False
247,NOVA1,0.001436654570331,False
248,KCNMA1,0.0014270410553084,True
249,SORBS2,0.0014199711318696,False
250,CACNA1E,0.0014137605964132,True
251,PCDH15,0.001408731400372,True
252,NDRG4,0.0014067337491193,False
253,GRIA3,0.001404429625293,True
254,ARFGEF3,0.0014042230608283,True
255,ASIC2,0.0014039250696743,True
256,FAM135B,0.0013964562468189,False
257,ST6GALNAC3,0.0013923642586398,True
258,PEX5L,0.0013921427305669,False
259,FSTL5,0.0013890412248713,False
260,CAMK4,0.0013821138760926,False
