Uniprot ID,Gene name,GTEx,Brain_RNA-Seq,HPA_RNA,HPA_IHC,HPA_Consensus,Tau Sum,scRNAseq Rank,scRNAseq Attribution,DT Mass Spec - Plasma,DT Mass Spec - CSF,DT Mass Spec - Neuron Culture,HPPP - Plasma,HPPP - EV,iPSC Proteomics,Guldbrandsen2014,Zhang2007,Macron2018,Schutzer2010,Begcevic2016,Thompson2020,Muraoka2020,Thompson2018,Chiasserini2014,DT Plasma EVs from 10 individuals,DT CSF EVs from 10 individuals,Sum in Mass Spec,Transmembrane
P46098,HTR3A,0.823486058845039,0.7972139492682657,0.8939676863188774,0.9659376202084349,0.4840173670968681,3.9646226817374854,12849,1.2247252058226552e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q6UWM7,LCTL,0.7070716796359833,0.8321208193893241,0.9208709443061436,0.0,0.8607444984912113,3.3208079418226624,16521,2.397002902305799e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N1C3,GABRG1,0.9775586596254375,0.7669496082650458,0.9672220714609464,0.995583883235475,0.15019543303784222,3.857509655624747,9573,3.1307417927263736e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9UBD6,RHCG,0.845554542905117,0.7440354190311825,0.914837323812707,0.9073552614183905,0.5431939115869754,3.954976458754372,14113,7.407423911425145e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9HBI6,CYP4F11,0.7722732279184713,0.9026871866272012,0.7465439680912194,0.9154125964676861,0.33147010393187654,3.668387083036454,17457,1.391679380062543e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q15825,CHRNA6,0.9660333533305145,0.9513747087232561,0.9669974428499404,0.0,0.17852999560438076,3.062935500508092,19419,3.458004931284709e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q15822,CHRNA2,0.9743564792846116,0.8284645953113231,0.9524113267579122,0.0,0.29581677718573446,3.051049178539581,25132,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P18507,GABRG2,0.9957610672228883,0.9023101667600323,0.8289652806258189,0.0,0.3238542619007346,3.050890776509474,484,0.0004095031209518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O75473,LGR5,0.7721615099874808,0.8304841649940089,0.7147710463592597,0.8517894987752986,0.98601965354184,4.155225873657888,13969,7.872849196590814e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9Y6A2,CYP46A1,0.813220460478023,0.7720036265384795,0.8794453661889609,0.0,0.5536671219092364,3.0183365751147,9518,3.166529650899565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N8D7,NKAIN3,0.9146017976886056,0.7955836074339969,0.8765391955724895,0.96698234654516,0.7304095811685106,4.284116528408763,1216,0.0002283055786341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q6UXN2,TREML4,0.93994985519571,0.7770230100357974,0.9576219857012302,0.0,0.18723262483000996,2.8618274757627473,25278,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False
Q6ZP80,TMEM182,0.7904119930142354,0.7489964336147266,0.7469226328379197,0.0,0.4870180833392267,2.7733491428061083,12263,1.4925527614215086e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q96JJ6,JPH4,0.7593874969270731,0.7028617221377025,0.8054428305385279,0.0,0.4749673073470419,2.7426593569503455,214,0.00069019416788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q4W5P6,SMIM43,0.8900694890469262,0.8171016871724566,0.9906086652217423,0.0,0.8304238595352667,3.528203700976392,23000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P31513,FMO3,0.7617160009195476,0.8774689759903902,0.8269545116110796,0.9322361728021962,0.9942630931092895,4.392638754432503,24961,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O95237,LRAT,0.791008884764729,0.7602240130346432,0.7749674586876792,0.0,0.17350902334129312,2.4997093798283445,13543,9.412301420963576e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8IUX8,EGFL6,0.891635589341436,0.922117916946583,0.9079254201769921,1.0000000000000009,0.485993107264008,4.20767203372902,11700,1.7899966604456655e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False
P57103,SLC8A3,0.8964498796811694,0.7471468484621557,0.8696946455108788,0.0,0.8678013956419387,3.381092769296143,8582,3.873792185680826e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P13385,TDGF1,0.8612568596965464,0.8884498245016087,0.7693816086350266,0.0,0.9802454976348891,3.4993337904680706,21326,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,False
Q14CN2,CLCA4,0.8794444191691606,0.9056473103713438,0.8391422501125342,0.6413269723380327,0.4523347581570055,3.7178957101480767,16089,2.9885595827033137e-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,True
P21128,ENDOU,0.7814213518523787,0.8053361539695332,0.8853832503488765,0.9280318032289657,0.10507237607831059,3.505244935478065,24378,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,False
P10632,CYP2C8,0.8830163009052867,0.805715099927665,0.9607746707097623,0.9911689279040591,0.8332121592227086,4.4738871586694815,14915,5.216764126930877e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,False
Q13002,GRIK2,0.8565901804071061,0.7764327045614726,0.8780050811201618,0.3445712495967354,0.7554731938237554,3.611072409509232,887,0.0002790704038837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,True
O43692,PI15,0.7421386277550325,0.7116200212916441,0.730429910950519,0.0,0.9014633404139071,3.0856519004111025,17603,1.2535246239222344e-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,False
Q9BXS0,COL25A1,0.7654345091040236,0.9104835357997296,0.8522527613984344,0.0,0.11118912638815645,2.639359932690344,8300,4.097988005660952e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,True
B2RNN3,C1QTNF9B,0.8133354892174094,0.7972139492682657,0.818769890091687,0.0,0.0,2.429319328577362,18949,5.170922750534515e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,False
Q9NP99,TREM1,0.8830567368390821,0.8239709392407686,0.7525138579640358,0.8282734938063171,0.1892389996436734,3.4770540274938773,14631,5.947639232689196e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,True
Q99062,CSF3R,0.7255081167792758,0.9269300591173169,0.6813618787378846,0.9523366318936286,0.5010677747306674,3.787204461258774,407,0.0004619222802229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,True
Q9BZM5,ULBP2,0.7319227026105233,0.7006349292796188,0.7105228266559103,0.0,0.19842254323906125,2.3415030017851133,12584,1.341633708922213e-05,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.0,False
Q9UPR5,SLC8A2,0.8647318577926624,0.8434156971283564,0.9105015259606444,1.0000000000000009,0.2743351057961071,3.8929841866777712,6786,5.55039968543812e-05,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3.0,True
Q6NUJ2,C11orf87,0.9811117328288061,0.9268099908164421,0.9764075050443415,1.0000000000000009,0.8146249134928185,4.698954142182409,10015,2.8209822937707014e-05,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,True
Q9H4A9,DPEP2,0.7318713878233933,0.7881413377248357,0.545902310095211,0.5905622889018735,0.41142365860869323,3.067900983154006,10351,2.579402587188949e-05,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.0,False
Q9NQ76,MEPE,0.9950585674759422,0.818273773292529,0.9999999999999992,0.0,0.3057733279491124,3.119105668717583,18844,5.574552082843976e-07,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.0,False
Q9H4A9,DPEP2,0.7318713878233933,0.7881413377248357,0.545902310095211,0.5905622889018735,0.41142365860869323,3.067900983154006,10351,2.579402587188949e-05,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.0,False
Q86UW8,HAPLN4,0.8384347095754501,0.8346390161312074,0.9083122145816918,0.8930273922504656,0.9994151518086595,4.473828484347474,16041,3.054004942663703e-06,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4.0,False
P15086,CPB1,0.8993525764534217,0.7386206505683884,0.8884461634271246,1.0000000000000009,0.8650092859071826,4.391428676356118,16175,2.8868071885597218e-06,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,4.0,False
Q5TFQ8,SIRPB1,0.8789196871565348,0.7513556664338477,0.7090511958753831,0.7134584724739991,0.4604594058357633,3.513244427775528,16179,2.880632598901977e-06,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4.0,True
Q96ID5,IGSF21,0.7620568810482642,0.7559615711155848,0.8111652132712749,0.0,0.20371980700667697,2.532903472441801,127,0.0009680394217011,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,5.0,False
Q9UQ52,CNTN6,0.889011233109628,0.8143609798849082,0.9268551386997574,0.9796661143959587,0.7720435932098791,4.381937059300132,9649,3.084432674750941e-05,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,5.0,False
Q9UQ52,CNTN6,0.889011233109628,0.8143609798849082,0.9268551386997574,0.9796661143959587,0.7720435932098791,4.381937059300132,9649,3.084432674750941e-05,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,5.0,False
O75015,FCGR3B,0.8828175873649743,0.907856868616609,0.6654161652200594,0.0,0.41020944125667375,2.8663000624583166,15143,4.6780828275322186e-06,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,6.0,False
O75015,FCGR3B,0.8828175873649743,0.907856868616609,0.6654161652200594,0.0,0.41020944125667375,2.8663000624583166,15143,4.6780828275322186e-06,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,6.0,False
O95498,VNN2,0.8154573796828897,0.7701564357336802,0.5791219686559473,0.0,0.820991288059565,2.985727072132082,15338,4.253826943633792e-06,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.0,False
Q5JZY3,EPHA10,0.8413635437704313,0.862496476250065,0.7724893941470424,0.7730579734348546,0.32248223715942453,3.571889624761818,12439,1.4128381096771044e-05,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,6.0,True
Q9P0K9,FRRS1L,0.849614993470392,0.8223404075320291,0.8096350991822364,0.9618549817133641,0.7855864171820488,4.22903189908007,992,0.0002592469715564,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,7.0,True
O94779,CNTN5,0.9418574666575257,0.8888980311109234,0.9161256836054782,0.5587894357376343,0.3366439820042438,3.6423145991158052,6342,6.059343375162621e-05,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,7.0,False
O94779,CNTN5,0.9418574666575257,0.8888980311109234,0.9161256836054782,0.5587894357376343,0.3366439820042438,3.6423145991158052,6342,6.059343375162621e-05,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,7.0,False
O95497,VNN1,0.795251900277956,0.846989947097331,0.78881046605262,0.9654636740952822,0.24243590095567005,3.6389518884788594,16019,3.08815528779468e-06,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,7.0,False
Q8TAG5,VSTM2A,0.9756598175356794,0.8408796296920693,0.9065702889164599,0.0,0.4285945496290694,3.151704285773278,845,0.0002860949163362,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,8.0,False
Q02246,CNTN2,0.9319054947218797,0.8093909090840833,0.9556197079618491,1.0000000000000009,0.6847201442005721,4.3816362559683855,3904,0.0001002298299379,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,8.0,False
Q02246,CNTN2,0.9319054947218797,0.8093909090840833,0.9556197079618491,1.0000000000000009,0.6847201442005721,4.3816362559683855,3904,0.0001002298299379,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,8.0,False
Q14982,OPCML,0.9575787162228775,0.7340173564788678,0.9274361481797874,0.0,0.9571884841275106,3.576220705009043,2599,0.0001357594906605,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,8.0,False
Q96GW7,BCAN,0.899813097168831,0.7418149827286774,0.8272033497773841,0.9936727420950249,0.381945430741996,3.8444496025119133,1196,0.0002304539956024,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,12.0,False
Q96GW7,BCAN,0.899813097168831,0.7418149827286774,0.8272033497773841,0.9936727420950249,0.381945430741996,3.8444496025119133,1196,0.0002304539956024,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,12.0,False
Q6UWR7,ENPP6,0.8248729464413691,0.8100952328826028,0.7886060762254747,0.9679107110756588,0.21617018904296081,3.6076551556680663,14968,5.078194062163292e-06,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,12.0,False
