Number,Gene Name, Transmembrane Domain?
1,KCND2,True
2,KCNJ3,True
3,KCNC2,True
4,RALYL,False
5,DAB1,False
6,CALN1,True
7,STXBP5L,False
8,GABRG3,True
9,GRIN2A,True
10,KCTD16,False
11,CELF4,False
12,FAM155A,True
13,PAK5,False
14,GABRB2,True
15,GABBR2,True
16,ASIC2,True
17,GRIK1,True
18,CELF5,False
19,RBFOX3,False
20,NMNAT2,False
21,SYT16,False
22,SYNPR,True
23,GAD2,False
24,KCTD8,False
25,DLGAP1,False
26,KSR2,False
27,FAM189A1,True
28,SCN1A,True
29,MYT1L,False
30,GABRG2,True
31,ADARB2,False
32,KCNIP4,False
33,SLC35F3,True
34,JPH4,True
35,CHD5,False
36,FGF14,False
37,LRRTM3,True
38,CACNG3,True
39,SRRM4,False
40,FAM135B,False
41,KCNJ6,True
42,ELAVL3,False
43,SYN2,False
44,GABRB3,True
45,ZNF804A,False
46,GRM5,True
47,GRIN2B,True
48,GRM7,True
49,SH3GL2,False
50,FRMPD4,False
51,RIMBP2,False
52,GRIA1,True
53,CNKSR2,False
54,CAMK4,False
55,GRIK2,True
56,CSMD3,True
57,ADCY1,True
58,LRRC7,False
59,ELAVL4,False
60,DLGAP2,False
61,SV2B,True
62,CSMD1,True
63,GABRA1,True
64,CACNG8,True
65,SHISA9,True
66,GRIA3,True
67,CAMKV,False
68,ATP8A2,True
69,SCN2A,True
70,SLC4A10,True
71,ARPP21,False
72,SYN3,False
73,CACNA1E,True
74,CADPS,False
75,KIRREL3,True
76,OLFM3,False
77,UNC5D,True
78,NETO1,True
79,GRM1,True
80,CDH8,True
81,SCN3B,True
82,CACNA1B,True
83,PTPRR,True
84,MDGA2,False
85,SYP,True
86,TAGLN3,False
87,ADD2,False
88,CAMK2B,False
89,RAB3C,False
90,STMN2,False
91,CALY,True
92,HCN1,True
93,KIAA1549L,True
94,CNTNAP5,True
95,SYT1,True
96,NEFL,False
97,PCLO,False
98,FSTL5,False
99,EPHA5,True
100,CNTNAP2,True
101,CDH18,True
102,SCG5,False
103,GPR158,True
104,FRRS1L,True
105,TMEM132D,True
106,OPCML,False
107,GRIA4,True
108,ATP2B2,True
109,NELL2,False
110,DCC,True
111,SCG2,False
112,HS6ST3,True
113,NRXN3,True
