Number,Gene Name, Transmembrane Domain?
1,METTL21EP,False
2,ANKRD19P,False
3,TDRG1,False
4,LINC01551,False
5,TMEM132E-DT,False
6,PDZD9,False
7,STMN2,False
8,NELL2,False
9,CDK5R1,False
10,SOGA3,True
11,KCNIP4,False
12,SCN3B,True
13,SLC35F3,True
14,RNF175,True
15,FSTL4,False
16,SHISA9,True
17,FOXG1,False
18,LRRC7,False
19,DLX6,False
20,PLPPR4,True
21,ADCY1,True
22,INSYN2A,False
23,SYNDIG1L,True
24,CBLN1,False
25,SYCE1,False
26,JPH4,True
27,LRTM2,True
28,RGS4,False
29,TMEM196,True
30,CPNE9,False
31,CHD5,False
32,FGF14,False
33,CABP7,True
34,FAM133A,False
35,ADARB2,False
36,NETO1,True
37,LRRTM3,True
38,ZNF534,False
39,PPEF1,False
40,KIAA1549L,True
41,PKIB,False
42,FAM189A1,True
43,ZDHHC22,True
44,KCNV1,True
45,CNKSR2,False
46,OR1F1,True
47,C1QL3,False
48,ACRV1,False
49,CNTNAP5,True
50,SLC38A8,True
51,SLC7A14,True
52,UNC5D,True
53,DRP2,False
54,SORCS3,True
55,GRM7,True
56,DRD1,True
57,GRM5,True
58,GABRA5,True
59,GABRB3,True
60,SH2D5,False
61,UNC13A,False
62,SLITRK5,True
63,TMEM63C,True
64,MYT1L,False
65,CACNA1E,True
66,TAFA2,False
67,DISP2,True
68,TMEM151B,True
69,GPR88,True
70,PCDHAC2,True
71,AKAIN1,False
72,MPPED1,False
73,DLGAP2,False
74,SCN8A,True
75,CCDC177,False
76,PCDH11Y,True
77,OLFM3,False
78,NOL4,False
79,GABRG2,True
80,SVOP,True
81,SIAH3,False
82,ANKRD18B,False
83,MAGEE2,False
84,SLIT1,False
85,TMEM130,True
86,MEPE,False
87,HPCAL4,False
88,ANKRD30B,False
89,SOX1,False
90,GRIA4,True
91,RIMBP2,False
92,VSTM5,True
93,KCNJ6,True
94,VSTM2A,False
95,ATOH7,False
96,GRM8,True
97,JPH3,True
98,GPR137C,True
99,RELN,False
100,FAM135B,False
101,SRRM4,False
102,FRMPD4,False
103,NYAP2,False
104,SCN2B,True
105,CLVS2,False
106,SCN1A,True
107,DLGAP1,False
108,PCDHGC4,True
109,HMGCLL1,False
110,VWC2L,False
111,CNIH2,True
112,CRYM,False
113,EPHA5,True
114,RIMKLA,False
115,CSMD1,True
116,SCG5,False
117,SLC10A4,True
118,FNDC9,True
119,MCHR2,True
120,CABP1,False
121,HS6ST3,True
122,FGF17,False
123,FSTL5,False
124,SLC35F4,True
125,SYN2,False
126,FAM81A,False
127,GPR22,True
128,DOC2A,False
129,TUBA8,False
130,CRH,False
131,GPR149,True
132,PCSK1,False
133,GLRA3,True
134,GPR6,True
135,SNAP91,False
136,GPR52,True
137,SMIM43,True
138,CELF3,False
139,DIRAS2,False
140,NOS1AP,False
141,SCG2,False
142,KHDC1L,False
143,CKMT1A,False
144,CKMT1A,False
145,ZNF804A,False
146,OPCML,False
147,B4GALNT1,True
148,SYT13,True
149,CHRNB2,True
150,CALN1,True
151,MC4R,True
152,C1orf94,False
153,AP3B2,False
154,GRIK2,True
155,TMEM266,True
156,BSN,False
157,STXBP5L,False
158,ALK,True
159,KCNH5,True
160,SYT1,True
161,RASGEF1A,False
162,CSMD3,True
163,SYNGR3,True
164,DAB1,False
165,CELSR3,True
166,TRIM67,False
167,FREM3,False
168,KCND2,True
169,KCNJ3,True
170,NYAP1,False
171,GABRA4,True
172,KSR2,False
173,GPR83,True
174,GPR12,True
175,RASGRF1,False
176,C2orf80,False
177,KCNC2,True
178,KIRREL3,True
179,ANO3,True
180,VAX1,False
181,RALYL,False
182,CBLN2,False
183,LHFPL4,True
184,ZFR2,False
185,CAMK2N2,False
186,SLC30A3,True
187,PTPRT,True
188,SLC17A7,True
189,ANKRD34C,False
190,VAT1L,False
191,NRXN3,True
192,TCEAL6,False
193,CADPS,False
194,PCLO,False
195,HTR2C,True
196,AMER3,False
197,CNNM1,True
198,NEFM,False
199,TAC3,False
200,ARPP21,False
201,ELAVL3,False
202,NPTX1,False
203,KCNH1,True
204,VGF,False
205,CNTNAP2,True
206,RIIAD1,False
207,DOK6,False
208,LRRTM1,True
209,PCDH8,True
210,RAB3C,False
211,SPHKAP,False
212,SYN3,False
