Number,Gene Name, Transmembrane Domain?
1,MAPK4,False
2,ADORA1,True
3,PCDHA13,True
4,CYP46A1,True
5,PCDHA11,True
6,GABRA2,True
7,ELOVL2,True
8,KCNE5,True
9,KNDC1,False
10,SPX,False
11,ENHO,False
12,WDR49,False
13,ADGRB1,True
14,MEIG1,False
15,SLCO1C1,True
16,RPE65,False
17,DBX2,False
18,POU3F4,False
19,PSD2,True
20,NAT8L,True
21,TMEM229A,True
22,GRIN2C,True
23,AIFM3,False
24,MEGF10,True
25,LIX1,False
26,SLC39A12,True
27,POU3F2,False
28,FAM181A,False
29,LHX2,False
30,NTSR2,True
31,RGR,True
32,LCTL,True
33,SLC25A18,True
34,RORB,False
35,GPC5,False
36,ENKUR,False
37,ACBD7,False
38,SLC25A48,True
39,FEZF2,False
40,ZIC2,False
41,MMD2,True
42,ADCY8,True
43,ZIC5,False
44,ETNPPL,False
45,TRPM3,True
46,RLBP1,False
47,FAM181B,False
48,DIPK1C,True
49,RFX4,False
50,LRRC3B,True
51,NCAN,False
52,CDH20,True
53,SLC6A11,True
54,RGS20,False
55,MLC1,True
56,NKAIN4,True
57,GPR37L1,True
58,KCNQ2,True
59,BCAN,False
60,HES5,False
61,ANKRD45,False
62,ACSBG1,False
63,CPNE6,False
64,HEPACAM,True
65,CERS1,True
66,RNF182,True
67,KIAA0319,True
68,PAX6,False
69,CRB1,True
70,CTNNA2,False
71,GABRG1,True
72,NR2E1,False
73,TTYH1,True
